Ref_Date,GEO,SEX,AGE,Value
2016,"Greater Vancouver, British Columbia",Females,59 years,17101
2016,"Greater Vancouver, British Columbia",Females,60 years,16652
2016,"Greater Vancouver, British Columbia",Females,61 years,16347
2016,"Greater Vancouver, British Columbia",Females,62 years,15337
2016,"Greater Vancouver, British Columbia",Females,63 years,14614
2016,"Greater Vancouver, British Columbia",Females,64 years,14152
2016,"Greater Vancouver, British Columbia",Females,65 years,13999
2016,"Greater Vancouver, British Columbia",Females,66 years,13857
2016,"Greater Vancouver, British Columbia",Females,67 years,13260
2016,"Greater Vancouver, British Columbia",Females,68 years,13293
2016,"Greater Vancouver, British Columbia",Females,69 years,13056
2016,"Greater Vancouver, British Columbia",Females,70 years,10866
2016,"Greater Vancouver, British Columbia",Females,71 years,9997
2016,"Greater Vancouver, British Columbia",Females,72 years,9628
2016,"Greater Vancouver, British Columbia",Females,73 years,9049
2016,"Greater Vancouver, British Columbia",Females,74 years,8311
2016,"Greater Vancouver, British Columbia",Females,75 years,8298
2016,"Greater Vancouver, British Columbia",Females,76 years,7595
2016,"Greater Vancouver, British Columbia",Females,77 years,7072
2016,"Greater Vancouver, British Columbia",Females,78 years,6870
2016,"Greater Vancouver, British Columbia",Females,79 years,6550
2016,"Greater Vancouver, British Columbia",Females,80 years,6186
2016,"Greater Vancouver, British Columbia",Females,81 years,5752
2016,"Greater Vancouver, British Columbia",Females,82 years,5376
2016,"Greater Vancouver, British Columbia",Females,83 years,5174
2016,"Greater Vancouver, British Columbia",Females,84 years,4810
2016,"Greater Vancouver, British Columbia",Females,85 years,4661
2016,"Greater Vancouver, British Columbia",Females,86 years,4236
2016,"Greater Vancouver, British Columbia",Females,87 years,3826
2016,"Greater Vancouver, British Columbia",Females,88 years,3499
2016,"Greater Vancouver, British Columbia",Females,89 years,3062
2016,"Greater Vancouver, British Columbia",Females,90 years and over,13787
2016,"Powell River, British Columbia",Males,0 years,91
2016,"Powell River, British Columbia",Males,1 year,92
2016,"Powell River, British Columbia",Males,2 years,90
